기준영화,추천영화,유사도 
F46756,F46855,0.06751901969081447
F46756,F46934,0.042399384962451436
F46756,F49105,0.02725675274929204
F46756,F47130,0.022030235266781086
F46934,F47089,0.11530264877209877
F46934,F47055,0.08661961752477651
F46934,F47309,0.08273295354141359
F46934,F47011,0.06725545080747297
F46934,A08717,0.06502649898007246
F46695,F47089,0.07447808429564758
F46695,F47962,0.05422218862234811
F46695,F46855,0.04987263984177706
F46695,F47151,0.04539418261651692
F46695,K21548,0.045135468025618374
